epoch,accuracy,loss,val_accuracy,val_loss
0,0.13486289978027344,4.619045734405518,0.17937219142913818,2.2414557933807373
1,0.16228315234184265,2.283735513687134,0.17713004350662231,2.2542765140533447
2,0.1606043577194214,2.2879221439361572,0.1569506675004959,2.2615561485290527
3,0.15388919413089752,2.263084888458252,0.18385650217533112,2.256709337234497
4,0.17011751234531403,2.2361161708831787,0.1928251087665558,2.224884271621704
5,0.19362059235572815,2.2158045768737793,0.20852017402648926,2.217428684234619
6,0.18970341980457306,2.2101945877075195,0.21748879551887512,2.214252233505249
7,0.198097363114357,2.181165933609009,0.21524663269519806,2.193281412124634
8,0.1768326759338379,2.2031450271606445,0.2062780261039734,2.1921517848968506
9,0.215444877743721,2.150221824645996,0.2062780261039734,2.1946423053741455
10,0.21656407415866852,2.136475086212158,0.21748879551887512,2.1845173835754395
11,0.213206484913826,2.1400139331817627,0.2130044847726822,2.156498670578003
12,0.2193620651960373,2.119359016418457,0.23094169795513153,2.1381735801696777
13,0.21824286878108978,2.1238300800323486,0.19058296084403992,2.200762987136841
14,0.23391158878803253,2.0933849811553955,0.23542600870132446,2.1637935638427734
15,0.22383883595466614,2.0934014320373535,0.22197309136390686,2.139037609100342
16,0.2316731959581375,2.1022231578826904,0.22869955003261566,2.1626768112182617
17,0.23223279416561127,2.06591534614563,0.21748879551887512,2.16378116607666
