epoch,accuracy,loss,val_accuracy,val_loss
0,0.11247901618480682,2.3618671894073486,0.11434977501630783,2.304842948913574
1,0.11247901618480682,2.354034423828125,0.11434977501630783,2.3046305179595947
2,0.11247901618480682,2.346736192703247,0.11434977501630783,2.304473400115967
3,0.11247901618480682,2.340928554534912,0.11434977501630783,2.3043580055236816
4,0.11247901618480682,2.336056709289551,0.11434977501630783,2.3042566776275635
5,0.11247901618480682,2.331737995147705,0.11434977501630783,2.3041694164276123
6,0.11191941797733307,2.3282229900360107,0.11434977501630783,2.3040919303894043
7,0.11247901618480682,2.3257646560668945,0.11434977501630783,2.304020404815674
8,0.11247901618480682,2.3220012187957764,0.11434977501630783,2.303959369659424
9,0.11303861439228058,2.3194549083709717,0.11434977501630783,2.3039026260375977
10,0.11303861439228058,2.318105459213257,0.11434977501630783,2.3038504123687744
11,0.11191941797733307,2.316408634185791,0.11434977501630783,2.303799629211426
12,0.11135981976985931,2.3134541511535645,0.11434977501630783,2.3037564754486084
13,0.11247901618480682,2.312429666519165,0.11434977501630783,2.303715705871582
14,0.11191941797733307,2.3110954761505127,0.11434977501630783,2.303680658340454
15,0.11247901618480682,2.3099007606506348,0.1165919303894043,2.303652048110962
16,0.10968103259801865,2.3094279766082764,0.1165919303894043,2.3036203384399414
17,0.11247901618480682,2.308398962020874,0.1165919303894043,2.3035929203033447
18,0.1102406233549118,2.3071553707122803,0.1165919303894043,2.303563356399536
19,0.10968103259801865,2.3060214519500732,0.1165919303894043,2.3035354614257812
