epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.9332804679870605,0.36149972677230835,2.5727405548095703,0.21748879551887512
1,1.8768867254257202,0.37157246470451355,2.1851303577423096,0.280269056558609
2,1.8144586086273193,0.381085604429245,1.9863370656967163,0.27130043506622314
3,1.66214919090271,0.4359261393547058,1.9562547206878662,0.29820626974105835
4,1.5946444272994995,0.45047566294670105,3.1520028114318848,0.24215246737003326
5,1.5081071853637695,0.491326242685318,1.8776932954788208,0.34529146552085876
6,1.4220874309539795,0.5114717483520508,1.9367668628692627,0.33183857798576355
7,1.2465710639953613,0.5747061967849731,1.9615976810455322,0.31165918707847595
8,1.2343672513961792,0.5663122534751892,2.2943878173828125,0.2735426127910614
9,1.1398141384124756,0.6110800504684448,2.1775565147399902,0.35201793909072876
10,0.9655349850654602,0.6754336953163147,1.9121748208999634,0.35874438285827637
