epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,4.214292526245117,0.17123670876026154,2.4938080310821533,0.17264573276042938
1,2.4064531326293945,0.20537212491035461,2.077080249786377,0.24439461529254913
2,2.2270896434783936,0.24006715416908264,2.0012402534484863,0.27130043506622314
3,2.1538314819335938,0.24846111238002777,1.9911340475082397,0.2533632218837738
4,2.052957773208618,0.2797985374927521,2.0933737754821777,0.2690582871437073
5,1.9806053638458252,0.3010632395744324,2.090169668197632,0.27130043506622314
6,1.9182333946228027,0.3223279118537903,2.056335210800171,0.3004484176635742
7,1.8020026683807373,0.35030779242515564,1.9093073606491089,0.31838566064834595
8,1.7259756326675415,0.3771684467792511,1.9082584381103516,0.3295964002609253
9,1.7356914281845093,0.38891997933387756,2.4765777587890625,0.2533632218837738
10,1.661628007888794,0.4224958121776581,2.0424842834472656,0.286995530128479
11,1.581605315208435,0.44320088624954224,1.967830777168274,0.3295964002609253
12,1.5468624830245972,0.4622271955013275,1.8991053104400635,0.3340807259082794
13,1.423460841178894,0.48684945702552795,2.1885974407196045,0.2466367781162262
14,1.3213918209075928,0.5360940098762512,1.9751290082931519,0.3340807259082794
15,1.2048046588897705,0.5814213752746582,2.2809431552886963,0.2892376780509949
16,1.1332753896713257,0.6026860475540161,1.9767842292785645,0.35426008701324463
17,1.090509295463562,0.6233911514282227,2.100632667541504,0.3273542523384094
